Stock Number,Stock Name
111218,EQ - SHRIRAM FINANCE LTD
100790,EQ - NESTLE INDIA LTD.
217389,EQ - HDFC LIFE INSURANCE COMPANY LI
100087,EQ - CIPLA LTD.
211385,EQ - SBI LIFE INSURANCE COMPANY LTD
100124,EQ - DR REDDYS LABORATORIES LTD.
105200,EQ - EICHER MOTORS LTD
100800,EQ - TATA CONSUMER PRODUCTS LTD
107685,EQ - WIPRO LIMITED
108869,EQ - APOLLO HOSPITALS ENTERPRISE LT
112599,EQ - ADANI ENTERPRISES LTD.
100182,EQ - HERO MOTOCORP LTD.
132187,EQ - INDUSIND BANK
100825,EQ - BRITANNIA INDUSTRIES LTD.
100547,EQ - BHARAT PETROLEUM CORPN LTD.
225051,SBI Cards & Payment Services Ltd.
249927,Gujarat Gas Ltd.
100294,NCC Ltd.
100670,Gujarat Narmada Valley Fertilizers and Chemicals Ltd.
216147,Nuvoco Vistas Corporation Ltd.
120111,Ratnamani Metals & Tubes Ltd.
290269,Indiamart Intermesh Ltd.
132733,Sun TV Network Ltd.
207673,Adani Wilmar Ltd
217400,Star Health & Allied Insurance
318585,UPL Ltd. (Right Share)
132689,PVR INOX Ltd.
106355,Chemplast Sanmar Ltd
100210,Ingersoll - Rand (India) Ltd
200067,D.B. Corp Ltd.
220018,Oberoi Realty Ltd.
303157,Rategain Travel Technologies Ltd.
100292,Heidleberg Cement India Ltd.
132700,Entertainment Network (India) Ltd.
208615,Laxmi Organic Industries Ltd.
214437,Varroc Engineering Ltd.
100444,West Coast Paper Mills Ltd.
219464,Cognizant Tech Solutions
218763,Dr Lal Pathlabs Ltd.
109480,Berger Paints India Ltd.
210072,Dixon Technologies (India) Limited
100241,Kirloskar Brothers Limited
269404,Tube Investments of India Limited
190003,Karur Vysya Bank Limited
131162,Emami Limited
113683,NLC India Limited
100038,Balrampur Chini Mills Limited
207673,Adani Wilmar Limited
100123,Elantas Beck India Limited
131335,Zydus Wellness Limited
106820,AstraZeneca Pharma India Limited
241214,Paradeep Phosphates Limited
132497,Radico Khaitan Limited
223658,TD Power Systems Limited
100238,Whirlpool of India Limited
100680,Pfizer Limited
221033,Aster DM Healthcare Limited
200025,ISGEC Heavy Engineering Limited
305799,KFin Technologies Limited
132757,Voltamp Transformers Limited
105283,Kirloskar Pneumatic Company Limited
132630,Gokaldas Exports Limited
224880,NIIT Learning Systems Limited
132331,Ajanta Pharma Limited
217757,PNB Housing Finance Limited
200017,eClerx Services Limited
100403,Sundram Fasteners Limited
221809,Inox Wind Limited
229238,Affle (India) Limited
210859,Tejas Networks Limited
235668,eMudhra Limited
304682,TBO Tek Limited
200007,Jyothy Labs Limited
102986,Vardhman Textiles Limited
100214,ION Exchange (India) Limited
122287,Kalpataru Projects International Limited
100126,Procter & Gamble Health Limited
132889,K.P.R. Mill Limited
100067,Blue Star Limited
132175,Cyient Limited
221645,Krishna Institute Of Medical Sciences Limited
113375,Carborundum Universal Limited
100040,Aditya Birla Real Estate Limited
307061,Avalon Technologies Limited
288451,Fine Organic Industries Limited
100575,Voltas Limited
100335,Birla Corporation Limited
100400,Tata Power Company Limited
303107,Sapphire Foods India Limited
224898,Sundaram Finance Holdings Limited
222264,PG Electroplast Limited
122113,Timken India Limited
